Cheese Gohan,en
Tako Roll,sl
Palitos de ajo,es
12 París roll,es
Hot Dog Solo,en
Octopus Olive              ,en
Gyozas,hu
105 Tako,sl
147 Kunstamann gran torobayo,es
Alitas de pollo,es
Familiar,en
Tempura Nori,lt
Palta,es
Condori Helado,es
1 Persona (18 Piezas),es
Del Club,es
Reineta Tempura,es
Ebi Furay ,so
803 Gyosas de Camarón,es
Niguri Kanikama,sw
Aros de cebolla,es
Crepe pollo y pimentón,es
Atún                      ,es
Pepsi,en
Salchicha barros luco,es
Ikafuray,sw
Magnum Paleta,en
House Roll,en
Palitos de Ajo,es
California Teri,en
Temaki Crabs Especial,pt
Pollo Tsurai,es
Italiano,it
Crab Maki,en
Nigiri Sake ,jw
Cremissimo,it
Sashimi Pulpo,es
Naruto Roll,en
Rodeo,en
Yakisoba de mariscos,es
Mediterránea,es
Kioto Roll,es
Vital,en
Ceviche Mixto,es
Tempura Roll,en
Ciboulette Tempura,fr
50. Futomaki ebi normal,en
4 Quesos,es
Furai Tori,fi
Ensalada de salmón ahumado,es
Personal ,en
Sake Cheese,en
Crab Maki,en
Nigiri Masago,jw
Sopa Miso ,en
Pollo apanado,es
Onion BBQ,en
Lomo Saltado ,es
Camarón Mandarín,es
Salsa Spicy,en
Macha's Roll,en
Mini roller BBQ Tocino,es
Mini roller BBQ Cebolla,es
Venesa irlandesa,es
Otate Almond,en
Tako Roll,sl
Onion BBQ,en
Salchipapas,tl
Mondo 6,it
62.- Tanaka,en
California Fresh,en
Grandiosa,it
Arma tu pizza a tu pinta,es
Pulpo,es
126 Suspiro limeño,es
Tiritas de Pollo Grille con Agregado,es
Familiar,en
2x1 Pizzas,en
Futo,so
Unagui Roll,en
Ceviche Sake,es
3 gyosas de verduras,es
59) Salad Ebi,en
Warau Roll,jw
Beto Maki,pt
12 Maguro,tl
Queso crema                 ,es
Gyozas de Verdura,it
Camarón Furai,es
Salsa Asiática,es
BBQ Creme,en
Sake Cheese Tempura,en
Kani Maki,tl
Aros de cebolla,es
Empanada espinaca champiñón,eo
Akai Acompañado B,es
Torimeshi,sq
Galleta Avena-Pasas,es
Ebi Gyozas,en
Guille Roll,es
Ensalada Cesar (Jugo + Postr),es
"Camarón apanado, queso crema, palta, masago",es
Palta meat rolls,en
2 x 1 Pizzas Familiares,es
Salsa Unagui,es
Menú Mancora,es
53. Tako Fury,en
Tempura Maki,en
Take Roll,en
Niu Cheese Roll,en
California Kioto,es
Bebidas Grande,pt
Pizza Alba,en
Natural Maki,en
Sake Hosomaki,en
Yakisoba,zu
Maki,ms
Principito,es
Churrasco,pt
Temaki Maguro,pt
Chirashi Sake,en
16.- Nachos Roll (6 bocados),en
Rainbow,en
Camarones apanados,es
Shawarme ExtraGrande,es
Minicalzone Jamón,es
19. California Maki,en
Atún 71,es
Ebi Maki,en
Surimi Maki,fr
Jengibre,es
Light roll ,en
Mozzarella Ebi Furai,en
Chapsui sólo Verduras,es
"Pollo teriyaki, queso crema, cebollín",es
Asado de tira (angus),es
16 Avocado,en
Ceviche roll,es
Bebidas,es
Ecuador,es
Nigiri Unagi,jw
Lomo saltado,es
15.- Natushi Roll,en
Con queso,es
Sake Roll,en
Bailey's Roll,en
Cerveza Heineken,es
Mediana,es
Onion BBQ,en
Personal:,en
Crepe pesto,en
Chicken Strips,en
California Tokio Limon,en
Pizza Hawaiana,es
Sopa Wantan ,ha
"1 temaky, 2 bocados sésamo, 2 bocados ciboulette",es
Chapsui de verduras,es
Salsa Ponzu,es
Bogel Roll,ms
Bambino,it
Menú 2A,es
2 pizzas medianas de 3 ingredientes,es
Minicalzone Jamón,es
Temaki Ebi Tempura,pt
Menú 92 Piezas,es
Salata camarón,es
2 pizzas medianas de 3 ingredientes,es
Gyosas de Pollo,es
Salsa Unagui,es
10 Avocado Rolls,en
Edu Roll,en
Para la mesa,es
Jalisco,es
Tori Don,en
Chirashi Ebi,en
Kurumiage,sw
Empanada Napolitana,gl
55- Cream Roll White,en
32 Hot Rolls ,en
